date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,17538.5,1.57,2.97210974713
2015-06-30,17229.46,1.29,2.85065558062
2015-03-31,16788.1,1.24,2.82065326035
2014-12-31,15931.48,1.1,2.75535244685
2014-09-30,14921.21,0.99,2.84302848094
2014-06-30,14309.74,0.97,2.9645140303
2014-03-31,13672.44,0.84,2.66049446917
2013-12-31,13570.57,0.76,2.68046596422
2013-09-30,13418.29,0.63,2.3304674068
2013-06-30,13390.77,0.57,2.33525685976
2013-03-31,13031.95,0.49,2.09400784226
2012-12-31,12291.65,0.43,2.00324978339
2012-09-30,11412.94,0.45,1.9456128307
2012-06-30,10580.07,0.4,1.81516889775
2012-03-31,10205.97,0.4,1.55456205535
2011-12-31,9832.54,0.38,1.45576778737
2011-09-30,9583.49,0.34,1.33498880888
2011-06-30,9294.74,0.35,1.32815984094
2011-03-31,8924.78,0.4,1.3586779282
2010-12-31,8543.39,0.42,1.37772495461
2010-09-30,8255.69,0.48,1.38528341059
2010-06-30,7924.97,0.49,1.36849981766
2010-03-31,7486.15,0.53,1.37780426521
2009-12-31,7015.97,0.54,1.37312512739
2009-09-30,6938.65,0.61,1.39592802635
2009-06-30,6410.33,0.67,1.47199619988
2009-03-31,5851.56,0.72,1.66486711236
