时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,13.3,10.53,165.33,44933.37,37271.3,73.7,528.75,1.42,--,--,6091.23,--,45789.71,--,384.38,26.25,2.24,2.08
2015-06-30,13.12,10.74,170.43,45145.66,37091.52,72.09,501.53,1.35,1.45,11.77,5883.64,--,44858.3,--,256.63,26.53,2.27,2.1
2015-03-31,13.56,10.8,172.86,42952.13,35926.51,73.79,468.43,1.3,--,--,5909.17,--,43567.46,--,144.03,29.15,2.29,2.11
2014-12-31,14.04,--,178.88,40296.68,34317.35,74.07,430.17,1.25,1.5,11.46,5845.02,--,41644.77,--,426.25,21.03,2.23,2.17
2014-09-30,13.8,11.03,201.29,41165.46,34791.48,73.92,408.72,1.17,1.68,12.24,5660.82,--,41006.05,--,327.89,24.26,2.4,2.21
2014-06-30,12.75,10.75,204.16,43759.2,34337.69,72.37,387.5,1.13,1.55,13.08,5236.26,--,41067.31,--,232.12,25.67,2.39,2.2
2014-03-31,12.19,10.55,212.28,41235.83,33098.96,74.35,360.58,1.09,1.53,12.74,5328.75,--,--,--,124.46,27.86,2.33,2.14
2013-12-31,12.08,--,213.65,41578.33,32663.68,73.4,343.1,1.05,1.55,13.67,5164.82,--,42740.68,--,337.77,20.54,2.52,2.33
2013-09-30,12.24,10.78,217.49,40702.16,32177.67,73.86,325.47,1.01,1.51,13.95,5104.19,--,--,--,265.87,21.4,2.53,2.36
2013-06-30,12.68,11.2,222.92,39533.1,32014.17,74.44,316.67,0.99,1.55,13.83,4984.13,--,39303.63,--,198.04,23.35,2.56,2.39
2013-03-31,13.06,10.97,232.09,39217.83,31602.58,74.28,307.37,0.97,1.63,14.74,5024.88,3818.98,--,--,101.56,24.07,2.57,2.4
2012-12-31,14.07,11.24,250.68,37284.12,29472.99,72.71,269.95,0.92,1.71,14.22,4560.75,3658.42,32425.07,--,272.11,18.47,2.59,2.43
2012-09-30,14.51,11.58,263.26,36403.01,28685.5,--,248.73,0.87,--,--,--,--,--,--,205.64,18.75,2.6,2.46
2012-06-30,12.57,9.58,273.53,35923.12,28059.2,71.85,228.73,0.82,1.93,16.47,3822.33,2924.12,30409.32,44.18,152.48,20.71,2.61,2.47
2012-03-31,12.42,9.39,272.43,34142.7,27046.05,--,218.91,0.81,--,--,--,--,--,--,81.48,22.31,2.6,2.47
2011-12-31,12.44,9.27,256.37,32832.32,25617.5,71.94,219.86,0.86,2.21,17.49,3524.44,2634.84,28331.15,--,243.55,19.18,2.59,2.49
2011-09-30,11.89,9.24,228.94,31635.28,25075.83,72.81,235.93,0.94,--,--,--,--,--,34.58,183.1,19.44,2.58,2.49
2011-06-30,12.2,9.41,213.89,31579.75,24330.56,70.61,239.35,0.98,2.68,19.64,3207.23,2482.71,26290.09,35.69,126.49,20.42,2.54,2.45
2011-03-31,12.05,9.24,197.83,30375.61,23441.64,71.63,247.07,1.05,--,--,--,--,--,37.45,65.04,21.51,2.51,2.43
2010-12-31,12.36,9.37,185.84,28678.47,22369.27,72.1,249.88,1.12,4.6,25.13,2985.53,2272.96,24162.55,32.23,192.39,18.46,2.46,2.39
2010-09-30,12.53,9.46,167.95,28085.58,21748.72,71.47,265.84,1.22,--,--,--,--,--,30.4,144.69,19.05,1.99,2.37
2010-06-30,12.17,8.94,161.17,27029.31,20705.68,70.45,253.33,1.22,3.97,24.46,2615.68,1929.55,21491.1,28.9,95.02,--,1.33,2.36
2010-03-31,11.73,8.12,155.25,25642.75,20000.07,72.67,253.94,1.27,--,--,--,--,--,28.18,49.06,--,0.65,2.34
2009-12-31,12,8.15,151.05,23720.55,18393.14,71.97,250.09,1.36,2.75,22.15,2264.33,1544.89,18870.22,27.83,143.73,--,2.53,2.21
