公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-04-07,2014,0,2,1.74,2015-04-10,2015-04-13,2015-04-13
2014-06-06,2013,0,2,1.60,2014-06-11,2014-06-12,2014-06-12
2013-06-14,2012,6,0,1.70,2013-06-19,2013-06-20,2013-06-20
2012-10-12,2012,--,--,1.00,2012-10-18,2012-10-19,--
2008-10-24,2008,3,0,0.34,2008-10-30,2008-10-31,2008-10-31
2003-09-23,2002,0,0,1.50,2003-09-26,2003-09-29,--
2002-07-17,2001,0,0,1.50,2002-07-22,2002-07-23,--
1999-10-16,1999,0,0,6.00,1999-10-15,1999-10-18,--
1997-08-19,1996,5,0,2.00,1997-08-22,1997-08-25,1997-08-27
1996-05-23,1995,5,5,0.00,1996-05-24,1996-05-27,1996-05-29
1995-09-15,1994,2,0,3.00,1995-09-22,1995-09-25,1995-09-27
1994-07-02,1993,3,2,5.00,1994-07-08,1994-07-11,1994-07-14
1993-05-09,1992,4,5,3.00,1993-05-21,1993-05-24,1993-05-24
1991-03-03,1990,4,0,3.00,1991-03-12,1991-04-03,--
