公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2015-12-15,增发,,否,--,股东大会批准
2014-12-20,次级定期债券,次级定期债券,是,--,股东大会批准
2014-12-10,增发,,否,--,实施
2014-12-10,次级定期债券,次级定期债券,是,--,实施
2014-12-10,普通金融债券,金融债,是,--,股东大会批准
2014-04-29,增发,港股,是,--,董事会批准
2013-12-12,普通金融债券,金融债,是,--,股东大会批准
2011-12-07,普通金融债券,金融债,是,--,实施
2011-04-09,公司债券,普通企业债,是,"1,000,000",股东大会批准
2011-04-09,增发,A股,否,--,实施
2011-01-10,短期融资债券,短期融资券,是,"350,000",实施
2010-04-28,普通金融债券,金融债,是,--,董事会取消方案
2010-04-28,次级定期债券,次级定期债券,是,"650,000",实施
2007-12-06,普通金融债券,金融债,是,"1,000,000",实施
