公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-07-02,2014,0,2,4.35,2015-07-07,2015-07-08,2015-07-09
2014-07-04,2013,--,--,4.35,2014-07-09,2014-07-10,--
2013-07-18,2012,0,3,4.70,2013-07-23,2013-07-24,2013-07-25
2012-05-11,2011,0,0,2.50,2012-05-17,2012-05-18,--
2011-04-16,2010,0,0,2.00,2011-04-20,2011-04-21,--
2010-05-14,2009,0,0,1.30,2010-05-19,2010-05-20,--
2009-06-10,2008,0,0,1.30,2009-06-15,2009-06-16,--
2008-04-28,2007,0,0,1.10,2008-05-05,2008-05-06,--
2007-04-11,2006,0,0,1.10,2007-04-16,2007-04-17,--
2006-03-27,2005,0,0,1.10,2006-03-30,2006-03-31,--
2005-05-27,2004,0,0,1.00,2005-06-01,2005-06-02,--
2004-05-17,2003,0,2,0.10,2004-05-20,2004-05-21,2004-05-24
2003-10-29,2003,0,0,3.53,2003-11-03,2003-11-04,--
