公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2015-04-17,增发,,否,--,发审委批准
2014-04-26,普通金融债券,金融债,是,--,实施
2011-03-26,普通金融债券,金融债,是,--,股东大会批准
2011-03-26,次级定期债券,次级定期债券,是,--,实施
2010-05-06,增发,A股,否,"2,076,724",实施
2009-04-21,次级定期债券,次级定期债券,是,"1,000,000",实施
2008-03-18,增发,A股,否,"1,155,752",实施
2007-10-23,普通金融债券,金融债,是,"600,000",实施
2007-06-15,普通金融债券,金融债,是,"762,000",实施
2006-12-22,混合资本债券,金融债,是,"400,000",实施
2006-07-11,普通金融债券,金融债,是,"1,500,000",实施
2006-07-11,次级定期债券,次级定期债券,是,"200,000",实施
2004-09-25,增发,A股,是,"550,000",董事会取消方案
