公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-08-29,0.0750,0.0000,0.0000,-,"273,640.12",-,[详情]
2015-03-31,0.1100,0.0000,0.0000,2015-07-06,"401,338.84",2015-07-07,[详情]
2014-08-29,0.0750,0.0000,0.0000,2015-01-08,"256,148.27",2015-01-09,[详情]
2014-03-29,0.1000,0.2000,0.0000,2014-06-24,"283,662.82",2014-06-25,[详情]
2013-08-29,0.1580,0.0000,0.0000,2013-09-09,"448,176.25",2013-09-10,[详情]
2013-03-29,0.1500,0.0000,0.0000,2013-06-26,"425,483.78",2013-06-27,[详情]
2012-08-24,0.1500,0.0000,0.0000,2012-08-31,"425,483.78",2012-09-03,[详情]
2012-03-23,0.3000,0.0000,0.0000,2012-06-25,"801,441.99",2012-06-26,[详情]
2011-03-26,0.1000,0.0000,0.0000,2011-06-08,"267,147.33",2011-06-09,[详情]
2010-04-20,0.0500,0.2000,0.0000,2010-07-14,"111,311.39",2010-07-15,[详情]
2009-04-23,0.0800,0.0000,0.0000,2009-05-25,"150,584.02",2009-05-26,[详情]
2008-03-04,0.0500,0.2000,0.1000,2008-04-03,"72,396.16",2008-04-07,[详情]
2007-03-19,0.0000,0.0000,0.1900,2007-06-08,0.00,2007-06-11,[详情]
2006-02-28,0.0500,0.1500,0.2500,2006-04-14,"36,305.95",2006-04-17,[详情]
2005-09-12,0.0000,0.0000,0.1550,2005-10-24,0.00,2005-10-25,[详情]
2005-02-24,0.0700,0.2000,0.0000,2005-04-15,"36,293.05",2005-04-18,[详情]
2004-02-27,0.1200,0.2000,0.1500,2004-04-16,"45,908.73",2004-04-19,[详情]
2003-04-08,0.0600,0.2000,0.1000,2003-04-11,"15,520.33",2003-04-14,[详情]
2002-06-13,0.0700,0.1500,0.0000,2002-06-18,"18,107.05",2002-06-19,[详情]
2001-05-24,0.2000,0.0000,0.3000,2001-05-30,"34,604.97",2001-05-31,[详情]
