,date,code
0,2011-01-04,600016
1,2011-01-05,600016
2,2011-01-06,600016
3,2011-01-07,601288
4,2011-01-10,600016
5,2011-01-11,600016
6,2011-01-12,600016
7,2011-01-13,600016
8,2011-01-14,600016
9,2011-01-17,600016
10,2011-01-18,600016
11,2011-01-19,600016
12,2011-01-20,600016
13,2011-01-21,600016
14,2011-01-24,600016
15,2011-01-25,600016
16,2011-01-26,600016
17,2011-01-27,600016
18,2011-01-28,600016
19,2011-01-31,600016
20,2011-02-01,600016
21,2011-02-09,600016
22,2011-02-10,600016
23,2011-02-11,600016
24,2011-02-14,600016
25,2011-02-15,600016
26,2011-02-16,600016
27,2011-02-17,600016
28,2011-02-18,600016
29,2011-02-21,600016
30,2011-02-22,600016
31,2011-02-23,600016
32,2011-02-24,600016
33,2011-02-25,601288
34,2011-02-28,600016
35,2011-03-01,600016
36,2011-03-02,600016
37,2011-03-03,600016
38,2011-03-04,600016
39,2011-03-07,600016
40,2011-03-08,600016
41,2011-03-09,600016
42,2011-03-10,600016
43,2011-03-11,600016
44,2011-03-14,600016
45,2011-03-15,600016
46,2011-03-16,600016
47,2011-03-17,600016
48,2011-03-18,600016
49,2011-03-21,600016
50,2011-03-22,600016
51,2011-03-23,600016
52,2011-03-24,600016
53,2011-03-25,600016
54,2011-03-28,600016
55,2011-03-29,600016
56,2011-03-30,600016
57,2011-03-31,600016
58,2011-04-01,600016
59,2011-04-06,600016
60,2011-04-07,600016
61,2011-04-08,600016
62,2011-04-11,600016
63,2011-04-12,600016
64,2011-04-13,600016
65,2011-04-14,600016
66,2011-04-15,600016
67,2011-04-18,600016
68,2011-04-19,600016
69,2011-04-20,600016
70,2011-04-21,600016
71,2011-04-22,600016
72,2011-04-25,600016
73,2011-04-26,600016
74,2011-04-27,600016
75,2011-04-28,600016
76,2011-04-29,600016
77,2011-05-03,600016
78,2011-05-04,601288
79,2011-05-05,600016
80,2011-05-06,600016
81,2011-05-09,600016
82,2011-05-10,600016
83,2011-05-11,600016
84,2011-05-12,600016
85,2011-05-13,600016
86,2011-05-16,600016
87,2011-05-17,600016
88,2011-05-18,600016
89,2011-05-19,600016
