date,bpvs,equity
2015-09-30,8.02,29250100
2015-06-30,7.68,28027900
2015-03-31,7.42,25407900
2014-12-31,7.03,24014200
2014-09-30,6.86,23357700
2014-06-30,6.53,22219900
2014-03-31,7.44,21104500
2013-12-31,6.97,19771200
2013-09-30,6.69,18985800
2013-06-30,6.53,18511600
2013-03-31,6.27,17793100
2012-12-31,5.75,16307700
2012-09-30,5.44,15437500
2012-06-30,5.28,14976300
2012-03-31,5.2,13886600.0
2011-12-31,4.85,12959700
2011-09-30,4.59,12252300
2011-06-30,4.31,11526900
2011-03-31,4.13,11038100
2010-12-31,3.9,10410800
2010-09-30,3.75,10011100
2010-06-30,4.31,9597600
2010-03-31,4.16,9268100
2009-12-31,3.95,8803400.0
2009-09-30,3.17,5960700
2009-06-30,3.04,5725500.0
2009-03-31,3.02,5678600
